species;la;sla;wd
Moquiniastrum polymorphum;36,504959000;124,94486220;0,748773527
Piptocarpha angustifolia;6,938200000;115,49163690;0,330681527
Vernonanthura discolor;50,612532860;97,04150918;0,328825430
Dasyphyllum spinescens;19,336000000;122,19799670;0,667354611
Dasyphyllum brasiliense;36,614200000;140,97551770;0,571805775
Escallonia bifida;8,023400000;154,30309670;0,527648643
Oreopanax fulvus;571,180666700;101,07634680;0,402073608
Ilex theezans;14,800755560;69,11770748;0,726758714
Ilex microdonta;6,703423571;76,76903176;0,704375033
Ilex dumosa;18,501526380;97,38797031;0,627605192
Ilex paraguariensis;34,000400000;146,27717170;0,451681828
Citronella gongonha;20,416818180;47,51533654;0,615243171
Jacaranda puberula;2,290000000;109,50000000;0,516000000
Ligustrum sinense;2,780000000;174,70000000;0,600000000
Ligustrum lucidum;32,641600000;68,40367648;0,675546970
Tabernaemontana catharinensis;38,800000000;219,61420720;0,436000000
Clethra scabra;24,685800000;88,84969974;0,412291665
Symplocos uniflora;13,900666670;86,89726317;0,484200418
Symplocos tetrandra;9,572530000;116,46192870;0,493521527
Styrax leprosus;11,932074130;152,88482850;0,439805869
Myrsine parvula;22,276000000;75,43770531;0,667500000
Myrsine coriacea;9,378949091;99,41922581;0,577845118
Myrsine umbellata;74,994661670;129,54230980;0,654995615
Chrysophyllum gonocarpum;80,990000000;154,92000000;0,735000000
Guapira opposita;57,890000000;46,78055152;0,506000000
Phytolacca dioica;47,018769240;126,54619120;0,250000000
Muellera campestris;47,893519870;238,94528730;0,697492915
Dalbergia frutescens;46,646000000;178,53390620;0,554580768
Machaerium paraguariense;78,818994110;241,30507130;0,690000000
Machaerium acutifolium;188,860000000;179,70000000;0,904000000
Myroxylon balsamum;20,980000000;169,34238170;0,788000000
Myrocarpus frondosus;91,051422280;199,24032410;0,699255536
Inga virescens;87,778500000;149,97781070;0,513358367
Inga marginata;58,879750000;164,60265490;0,526138914
Inga lentiscifolia;29,981000000;179,22749900;0,538919461
Inga vera;20,020000000;158,22784810;0,614000000
Mimosa scabrella;27,249733330;83,63349433;0,665030300
Parapiptadenia rigida;76,146403510;129,50637940;0,683035577
Eriobotrya japonica;126,930000000;51,59000000;0,696000000
Prunus myrtifolia;12,779619900;93,69163062;0,656658816
Maclura tinctoria;30,640000000;179,93640130;0,754000000
Morus nigra;75,025400000;318,96320510;0,475061419
Sorocea bonplandii;55,470000000;98,89999998;0,618000000
Urera baccifera;334,720000000;264,36161250;0,223000000
Trema micrantha;31,450000000;173,70346640;0,372000000
Celtis iguanaea;7,570000000;142,73000000;0,666000000
Hovenia dulcis;58,730200000;233,90360380;0,597311568
Scutia buxifolia;3,551000000;115,14267190;0,804659091
Xylosma ciliatifolia;25,143000000;215,00769630;0,578373206
Banara tomentosa;18,218872970;302,19604050;0,784878036
Casearia gossypiosperma;17,800000000;191,50000000;0,740000000
Casearia decandra;7,738461129;234,85330850;0,661067668
Casearia sylvestris;45,910000000;138,17000000;0,672000000
Erythroxylum deciduum;19,472150000;138,51209510;0,704395604
Sebastiania brasiliensis;10,944220260;176,00268070;0,609889608
Gymnanthes klotzschiana;9,676197958;141,94403640;0,627894389
Sapium glandulosum;20,689872730;130,86053540;0,334605234
Tetrorchidium rubrivenium;95,000000000;151,82031950;0,332000000
Alchornea triplinervia;22,270000000;97,98000000;0,445000000
Crinodendron brasiliense;5,050145000;99,40216225;0,498849677
Weinmannia paulliniifolia;8,585381190;104,00149430;0,578306679
Maytenus boaria;4,976685000;97,48103845;0,603745287
Ceiba speciosa;38,740000000;189,73000000;0,318000000
Luehea divaricata;52,210017760;243,78154080;0,514340404
Zanthoxylum monogynum;24,620000000;212,23080520;0,900000000
Zanthoxylum kleinii;17,689000000;120,77411780;0,599780473
Zanthoxylum rhoifolium;36,107187500;139,96746320;0,444921919
Pilocarpus pennatifolius;168,442077200;94,20025383;0,824170766
Cabralea canjerana;44,390000000;131,01000000;0,692000000
Guarea macrophylla;69,260000000;85,55802362;0,576000000
Trichilia elegans;22,180000000;155,75862670;0,614000000
Cedrela fissilis;1200,485606000;98,28278078;0,338822418
Matayba elaeagnoides;154,722365000;113,03994690;0,536098275
Cupania vernalis;320,042406000;108,13160360;0,616316480
Allophylus edulis;21,364563570;182,29935570;0,552638287
Lithraea brasiliensis;9,010680952;77,95443154;0,643215538
Schinus sp.;5,629085000;91,28324788;0,629085030
Schinus terebinthifolia;57,174181920;151,11712300;0,520047364
Siphoneugena reitzii;0,645290000;85,22690656;0,673854220
Myrrhinium atropurpureum;8,304207500;104,45871410;0,669948695
Feijoa sellowiana;21,682353330;80,69823050;0,631203034
Eugenia uruguayensis;7,429082143;67,13888120;0,937543551
Eugenia uniflora;7,124066323;253,15348790;0,735581038
Eugenia pyriformis;8,724000000;77,05106407;0,973254284
Myrcianthes gigantea;10,913692710;79,03199253;0,730760687
Myrcianthes pungens;10,144195790;80,04816327;0,692717951
Myrceugenia regnelliana;1,479777143;120,05300670;0,625014628
Myrceugenia mesomischa;4,336310000;92,67134862;0,682437981
Myrceugenia miersiana;9,527026818;138,34814160;0,564483040
Myrceugenia euosma;1,887710000;78,41213511;0,553402801
Myrceugenia glaucescens;3,972145000;106,08086630;0,603799828
Myrceugenia oxysepala;4,196314000;100,30615690;0,627603894
Myrceugenia myrcioides;13,721772500;106,43225250;0,597251606
Blepharocalyx salicifolius;10,434333330;186,21709020;0,546033868
Myrcia palustris;4,647920000;116,53531930;0,499808276
Myrcia oblongata;8,023000000;62,84243960;0,738606016
Myrcia hatschbachii;28,817383330;91,73187559;0,721836263
Myrcia glomerata;10,066670000;77,16626470;0,687647598
Myrcia splendens;4,780216667;213,37767240;0,742602044
Myrcia guianensis;6,172583333;77,52056986;0,681839030
Campomanesia xanthocarpa;24,905360220;182,28223520;0,682249093
Psidium guajava;30,490000000;93,21072904;0,680343509
Roupala montana;21,490000000;50,47962417;0,776000000
Annona rugulosa;27,788709330;236,28084710;0,375877578
Guatteria australis;47,880000000;86,13942183;0,485000000
Ocotea pulchella;5,585947750;81,25477006;0,508850074
Ocotea puberula;29,226013300;137,91347470;0,425497588
Nectandra megapotamica;18,814060380;144,51805240;0,513362989
Nectandra lanceolata;29,481000000;58,19401360;0,438146508
Nectandra oppositifolia;89,980000000;181,40000000;0,500000000
Cinnamomum amoenum;8,076500000;69,25967974;0,409941833
Persea americana;87,960000000;109,95248970;0,538000000
Cryptocarya aschersoniana;118,290000000;150,71000000;0,619000000
Drimys brasiliensis;16,745615380;64,15973602;0,397815086
Drimys angustifolia;5,673154688;92,50104934;0,548054847
Cinnamodendron dinisii;14,305732920;85,99834763;0,528924245
Podocarpus lambertii;1,737600000;106,80073640;0,467238422
Araucaria angustifolia;1,714306795;79,81766906;0,531985319
Pinus taeda;2,622200000;87,56767302;0,377392096
Pinus elliottii;3,875800000;42,26946829;0,410250724
